,countries
0,France
1,Croatia
2,Australia
3,Bulgaria
4,England
5,Lebanon
6,Moldova
7,Israel
8,Mexico
9,Turkey
10,Spain
11,Luxembourg
12,South Africa
13,Brazil
14,Serbia
15,China
16,Portugal
17,Austria
18,Georgia
19,Slovenia
20,India
21,Germany
22,New Zealand
23,Argentina
24,Czech Republic
25,Cyprus
26,Peru
27,Switzerland
28,Macedonia
29,Morocco
30,Ukraine
31,Egypt
32,Slovakia
33,Armenia
34,Canada
35,Italy
36,Romania
37,Bosnia and Herzegovina
38,US
39,Greece
40,Uruguay
41,Chile
42,Hungary
43,Q
44,W
45,vbn
46,E
47,R
48,D
49,o
50,AF
51,uu
52,hhhh
53,t
54,Z
57,Aq
